Point Name,Line,Location,Terminal,Point Name,trend,count,Type,Contains Outliers
(CC) ANC AUX PWR ROOM 2A  M103T13D1,MRL,Civic Center,(CC) CIVIC CENTER M103T13 ,(CC) ANC AUX PWR ROOM 2A  M103T13D1,"2,1,1",4,,False
(CC) ANC AUX PWR ROOM 2A M10313i1,MRL,Civic Center,(CC) CIVIC CENTER M103T13 ,(CC) ANC AUX PWR ROOM 2A M10313i1,"2,1,1",4,,False
(CC) ANC CHILLER RM 12   M103T9i3,MRL,Civic Center,(CC) CIVIC CENTER M103T9 ,(CC) ANC CHILLER RM 12   M103T9i3,3,3,,False
(CC) ANC MID TPSS ROOM DR 1N  M103T13i3,MRL,Civic Center,(CC) CIVIC CENTER M103T13 ,(CC) ANC MID TPSS ROOM DR 1N  M103T13i3,1,1,,False
(CC) ANC MID TPSS ROOM DR 1S  M103T13D2,MRL,Civic Center,(CC) CIVIC CENTER M103T13 ,(CC) ANC MID TPSS ROOM DR 1S  M103T13D2,2,2,,False
(CC) ANC MID TPSS ROOM DR 1S  M103T13i2,MRL,Civic Center,(CC) CIVIC CENTER M103T13 ,(CC) ANC MID TPSS ROOM DR 1S  M103T13i2,2,2,,False
(CC) ANC N AIR SUPPLY ROOM 13   M103T11i2,MRL,Civic Center,(CC) CIVIC CENTER M103T11 ,(CC) ANC N AIR SUPPLY ROOM 13   M103T11i2,1,1,,False
(CC) ANC N CORR 41C  M103T8D1,MRL,Civic Center,(CC) CIVIC CENTER M103T8 ,(CC) ANC N CORR 41C  M103T8D1,"2,9,7,2,1,3",24,,False
(CC) ANC N CORR 41C  M103T8i1,MRL,Civic Center,(CC) CIVIC CENTER M103T8 ,(CC) ANC N CORR 41C  M103T8i1,"2,9,5,2,1,3",22,,True
(CC) ANC N SMOKE EXH & FAN RM 14   M103T11i3,MRL,Civic Center,(CC) CIVIC CENTER M103T11 ,(CC) ANC N SMOKE EXH & FAN RM 14   M103T11i3,"7,10,10",27,,False
(CC) ANC N TC&C ROOM 3   M103T11D1,MRL,Civic Center,(CC) CIVIC CENTER M103T11 ,(CC) ANC N TC&C ROOM 3   M103T11D1,"1,3,3,2",9,,False
(CC) ANC N TC&C ROOM 3   M103T11i1,MRL,Civic Center,(CC) CIVIC CENTER M103T11 ,(CC) ANC N TC&C ROOM 3   M103T11i1,"1,3,3,2",9,,False
(CC) ANC NCABLE ROOM 30C  M103T11D2,MRL,Civic Center,(CC) CIVIC CENTER M103T11 ,(CC) ANC NCABLE ROOM 30C  M103T11D2,1,1,,False
(CC) ANC S AUX PWR RM 2B  M103T12D1,MRL,Civic Center,(CC) CIVIC CENTER M103T12 ,(CC) ANC S AUX PWR RM 2B  M103T12D1,1,1,,False
(CC) ANC S AUX PWR RM 2B  M103T12i1,MRL,Civic Center,(CC) CIVIC CENTER M103T12 ,(CC) ANC S AUX PWR RM 2B  M103T12i1,1,1,,False
(CC) ANC S CORRIDOR 44D   M103T9D1,MRL,Civic Center,(CC) CIVIC CENTER M103T9 ,(CC) ANC S CORRIDOR 44D   M103T9D1,"3,8,3,2,3,2,3",24,,True
(CC) ANC S CORRIDOR 44D   M103T9i1,MRL,Civic Center,(CC) CIVIC CENTER M103T9 ,(CC) ANC S CORRIDOR 44D   M103T9i1,"3,8,3,2,3,2,3",24,,True
(CC) CIVIC CENTER MAIN 103,MRL,Civic Center,System at PIN,(CC) CIVIC CENTER MAIN 103,1,1,,False
(CC) MEZ N EMR EXIT STR 1 VEST 41A DR  M103T4D2,MRL,Civic Center,(CC) CIVIC CENTER M103T4 ,(CC) MEZ N EMR EXIT STR 1 VEST 41A DR  M103T4D2,"5,4,8,6,12,8,4,7,9",63,,True
(CC) MEZ N VALVE RM 18A  M103T4D1,MRL,Civic Center,(CC) CIVIC CENTER M103T4 ,(CC) MEZ N VALVE RM 18A  M103T4D1,4,4,,False
(CC) MEZ N VALVE RM 18A  M103T4i1,MRL,Civic Center,(CC) CIVIC CENTER M103T4 ,(CC) MEZ N VALVE RM 18A  M103T4i1,4,4,,False
(CC) MEZ N VESTIBULE 41A  M103T4i2,MRL,Civic Center,(CC) CIVIC CENTER M103T4 ,(CC) MEZ N VESTIBULE 41A  M103T4i2,"5,4,8,6,12,8,4,7,9",63,,True
(CC) MEZ S EMR EXIT STR 5AB  M103T6i2,MRL,Civic Center,(CC) CIVIC CENTER M103T6 ,(CC) MEZ S EMR EXIT STR 5AB  M103T6i2,"8,10,10,10,6,8,15,10,19",96,PUBLIC Emergency Exit ,True
(CC) MEZ S EMR EXIT STR 5AB DR  M103T6D2,MRL,Civic Center,(CC) CIVIC CENTER M103T6 ,(CC) MEZ S EMR EXIT STR 5AB DR  M103T6D2,"8,10,10,10,6,8,15,10,19",96,,True
(CC) MID STREET HATCH 6  M103T8i3,MRL,Civic Center,(CC) CIVIC CENTER M103T8 ,(CC) MID STREET HATCH 6  M103T8i3,1,1,HATCH,False
(CC) N ROLLUP DOOR EXT LCP  M103T5D1,MRL,Civic Center,(CC) CIVIC CENTER M103T5 ,(CC) N ROLLUP DOOR EXT LCP  M103T5D1,"1,1,1,1,2,1,1,1",9,,True
(CC) N ROLLUP DOOR INT LCP  M103T5i2,MRL,Civic Center,(CC) CIVIC CENTER M103T5 ,(CC) N ROLLUP DOOR INT LCP  M103T5i2,"1,2,1",4,,False
(CC) PLT AL EAST EMR GATE 2   M103T10i2,MRL,Civic Center,(CC) CIVIC CENTER M103T10,(CC) PLT AL EAST EMR GATE 2   M103T10i2,"1,1",2,Platform End Gate,False
(CC) PLT AL WEST EMR GATE 4   M103T10i4,MRL,Civic Center,(CC) CIVIC CENTER M103T10 ,(CC) PLT AL WEST EMR GATE 4   M103T10i4,1,1,Platform End Gate,False
(CC) PLT N CABLE RM 30A  M103T2D1,MRL,Civic Center,(CC) CIVIC CENTER M103T2,(CC) PLT N CABLE RM 30A  M103T2D1,1,1,,False
(CC) PLT N EMR EXIT STR1  M103T14i1,MRL,Civic Center,(CC) CIVIC CENTER M103T14 ,(CC) PLT N EMR EXIT STR1  M103T14i1,"8,10,4,5,9,6,10,3,6",61,,False
(CC) PLT N EMR EXIT STR1 DR  M103T14D1,MRL,Civic Center,(CC) CIVIC CENTER M103T14 ,(CC) PLT N EMR EXIT STR1 DR  M103T14D1,"8,10,4,5,9,6,10,3,6",61,,False
(CC) PLT S EMR EXIT STR5  M103T15i1,MRL,Civic Center,(CC) CIVIC CENTER M103T15 ,(CC) PLT S EMR EXIT STR5  M103T15i1,"8,9,13,10,10,8,7,11",76,,True
(CC) PLT S EMR EXIT STR5 DR  M103T15D1,MRL,Civic Center,(CC) CIVIC CENTER M103T15 ,(CC) PLT S EMR EXIT STR5 DR  M103T15D1,"8,9,13,10,10,8,7,11",76,,True
(CC) S STREET HATCH 5 A&B   M103T9i2,MRL,Civic Center,(CC) CIVIC CENTER M103T9 ,(CC) S STREET HATCH 5 A&B   M103T9i2,"1,1",2,HATCH,False
(CCF) 1ST FLR SOUTH DOOR ENTRY 1   M70T1D2,,Central Control Facility,(CCF) 70-1 1ST FLR REAR HALL / SHERIFF SIDE DR ,(CCF) 1ST FLR SOUTH DOOR ENTRY 1   M70T1D2,"51,46,34,30,52,47,41,54,46",401,,True
(CCF) 1ST FLR SOUTH DOOR ENTRY 2   M70T1D1,,Central Control Facility,(CCF) 70-1 1ST FLR REAR HALL / SHERIFF SIDE DR ,(CCF) 1ST FLR SOUTH DOOR ENTRY 2   M70T1D1,"67,5,39,50,66,56,48,41,60",432,,True
(CCF) 80-2 CCF NORTH / E STAIR,,Central Control Facility,(CCF-ROC) COMM RM  M80,(CCF) 80-2 CCF NORTH / E STAIR,1,1,,False
(CCF) CCF NORTH ENTRY  M80T2D1,,Central Control Facility,(CCF) 80-2 CCF NORTH / E STAIR ,(CCF) CCF NORTH ENTRY  M80T2D1,"15,7,11,5,11,10,10,9,8",86,,True
(CCF) COMM ROOM EAST  M80T1D1,,Central Control Facility,(CCF) 80-1 COMM RM E/SCADA ,(CCF) COMM ROOM EAST  M80T1D1,"10,2,1,2,4,3,1,6,3",32,,True
(CCF) CONTROL RM NORTH  M80T3D1,,Central Control Facility,(CCF) 80-3 CONTROL RM N & S ,(CCF) CONTROL RM NORTH  M80T3D1,"1,1",2,,False
(CCF) CONTROL/CCTV WEST  M80T5D1,,Central Control Facility,(CCF) 80-5 2ND FLR WEST HALL / SPARE ,(CCF) CONTROL/CCTV WEST  M80T5D1,1,1,,False
(CCF) CORR/LOBBY 2ND FLOOR  M80T4D1,,Central Control Facility,(CCF) 80-4 2ND FLR OBS / LOCKER ,(CCF) CORR/LOBBY 2ND FLOOR  M80T4D1,"1,1,1,1,2,2,3",11,,True
(CCF) GYM DR  M80T5D2,,Central Control Facility,(CCF) 80-5 2ND FLR WEST HALL / SPARE  ,(CCF) GYM DR  M80T5D2,"3,2,1,1,1,2,3",13,,False
(CCF) MAIN ENTRY  M70T2D1,,Central Control Facility,(CCF) 70-2 MAIN ENTRY / SPARE ,(CCF) MAIN ENTRY  M70T2D1,"184,214,117,146,130,115,152,179,176",1413,,False
(CCF) SCADA ENTRY  M80T1D2,,Central Control Facility,(CCF) 80-1 COMM RM E/SCADA ,(CCF) SCADA ENTRY  M80T1D2,"17,21,1,14,34,18,17,32,19",173,,True
(CCF-ROC) COMM RM  M8,,,System at PIN,(CCF-ROC) COMM RM  M8,1,1,,False
(CLX AVIATION)  DC-16  M29T1i2,,,(CLX AVIATION) STATION M29T1 ,(CLX AVIATION)  DC-16  M29T1i2,"3,1,1",5,,False
(CLX AVIATION)  NO TC&C DC-16  M29T1D2,,,(CLX AVIATION) STATION M29T1 ,(CLX AVIATION)  NO TC&C DC-16  M29T1D2,"3,1,1",5,,False
(CLX AVIATION)  ST DC-18  M29T1i1,,,(CLX AVIATION) STATION M29T1 ,(CLX AVIATION)  ST DC-18  M29T1i1,"4,2,5,1",12,,False
(CLX AVIATION)  VESTIBULE DC-18 DR  M29T1D1,,,(CLX AVIATION) STATION M29T1 ,(CLX AVIATION)  VESTIBULE DC-18 DR  M29T1D1,"4,2,5,1",12,,False
(CLX AVIATION) ELECTRICAL ROOM DC-11  M29T1m1i2,,,(CLX AVIATION)  INPUT MODULE 1 M29T,(CLX AVIATION) ELECTRICAL ROOM DC-11  M29T1m1i2,"2,1,1",4,,False
(CLX AVIATION) ELEV EQUIP ROOM DC-10  M29T1m1i7,,,(CLX AVIATION)  INPUT MODULE 1 M29T1M1,(CLX AVIATION) ELEV EQUIP ROOM DC-10  M29T1m1i7,"13,2",15,,False
(CLX AVIATION) EMERGNCY STAIR SOUTH DC-06  M29T1m1i,,,(CLX AVIATION)  INPUT MODULE 1 M29T,(CLX AVIATION) EMERGNCY STAIR SOUTH DC-06  M29T1m1i,7,7,,False
